source,trial_number,trial_code,harvest_season,planting_date,planting_order,planting_month,treatment_type,treatment,rep,n_spray,sev,sev_class,yld,defoliation,audpc,tkw,first_after_planting,spray1,spray2,spray3,spray4,spray5,spray6,1_2,2_3,3_4,4_5,5_6
DWSys,1,PG,2013,12/4/2012,3,Dec,Growth stage,CAL,1,3,35,High,2229.7,NA,NA,NA,44,1/17/2013,02/06/2013,02/22/2013,NA,NA,NA,20,16,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Growth stage,CAL,2,3,43,High,1735.04,NA,NA,NA,44,1/17/2013,02/06/2013,02/22/2013,NA,NA,NA,20,16,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Growth stage,CAL,3,3,41,High,2277.9,NA,NA,NA,44,1/17/2013,02/06/2013,02/22/2013,NA,NA,NA,20,16,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Growth stage,CAL,4,3,42,High,2190.58,NA,NA,NA,44,1/17/2013,02/06/2013,02/22/2013,NA,NA,NA,20,16,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Rainfall,DSV50,1,3,33,High,2649.6,NA,NA,NA,45,1/18/2013,02/10/2013,03/05/2013,NA,NA,NA,23,23,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Rainfall,DSV50,2,3,36,High,2255.24,NA,NA,NA,45,1/18/2013,02/10/2013,03/05/2013,NA,NA,NA,23,23,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Rainfall,DSV50,3,3,37,High,2591.14,NA,NA,NA,45,1/18/2013,02/10/2013,03/05/2013,NA,NA,NA,23,23,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Rainfall,DSV50,4,3,35,High,3035.27,NA,NA,NA,45,1/18/2013,02/10/2013,03/05/2013,NA,NA,NA,23,23,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Rainfall,DSV80,1,2,25,High,2752.76,NA,NA,NA,73,2/15/2013,03/14/2013,NA,NA,NA,NA,27,NA,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Rainfall,DSV80,2,2,31,High,2317.22,NA,NA,NA,73,2/15/2013,03/14/2013,NA,NA,NA,NA,27,NA,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Rainfall,DSV80,3,2,30,High,2907,NA,NA,NA,73,2/15/2013,03/14/2013,NA,NA,NA,NA,27,NA,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,Rainfall,DSV80,4,2,34,High,2255.92,NA,NA,NA,73,2/15/2013,03/14/2013,NA,NA,NA,NA,27,NA,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,None,UNT,1,0,100,High,1029.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,None,UNT,2,0,100,High,1180.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,None,UNT,3,0,99,High,1298.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,1,PG,2013,12/4/2012,3,Dec,None,UNT,4,0,100,High,1106.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Growth stage,CAL,1,3,49,High,2598.22,NA,NA,NA,36,01/16/2013,02/05/2013,02/22/2013,NA,NA,NA,20,17,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Growth stage,CAL,2,3,30.5,High,4292.31,NA,NA,NA,36,01/16/2013,02/05/2013,02/22/2013,NA,NA,NA,20,17,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Growth stage,CAL,3,3,40.5,High,3541.91,NA,NA,NA,36,01/16/2013,02/05/2013,02/22/2013,NA,NA,NA,20,17,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Growth stage,CAL,4,3,43,High,3196.44,NA,NA,NA,36,01/16/2013,02/05/2013,02/22/2013,NA,NA,NA,20,17,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Rainfall,DSV50,1,3,8.9,High,3294,NA,NA,NA,44,01/24/2013,02/14/2013,03/07/2013,NA,NA,NA,21,21,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Rainfall,DSV50,2,3,3.5,High,3699.05,NA,NA,NA,44,01/24/2013,02/14/2013,03/07/2013,NA,NA,NA,21,21,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Rainfall,DSV50,3,3,10.2,High,3148.76,NA,NA,NA,44,01/24/2013,02/14/2013,03/07/2013,NA,NA,NA,21,21,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Rainfall,DSV50,4,3,16,High,3235.56,NA,NA,NA,44,01/24/2013,02/14/2013,03/07/2013,NA,NA,NA,21,21,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Rainfall,DSV80,1,3,32.5,High,3459.64,NA,NA,NA,44,01/24/2013,02/13/2013,03/15/2013,NA,NA,NA,20,30,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Rainfall,DSV80,2,3,27,High,3223.08,NA,NA,NA,44,01/24/2013,02/13/2013,03/15/2013,NA,NA,NA,20,30,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Rainfall,DSV80,3,3,29.5,High,3632.26,NA,NA,NA,44,01/24/2013,02/13/2013,03/15/2013,NA,NA,NA,20,30,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,Rainfall,DSV80,4,3,30.5,High,2660.71,NA,NA,NA,44,01/24/2013,02/13/2013,03/15/2013,NA,NA,NA,20,30,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,None,UNT,1,0,100,High,1204.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,None,UNT,2,0,100,High,1190.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,None,UNT,3,0,100,High,1173.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,2,SAP,2013,12/11/2012,3,Dec,None,UNT,4,0,100,High,931.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Growth stage,CAL,1,3,43,High,2838.21,NA,NA,NA,41,03/13/2013,04/03/2013,04/19/2013,NA,NA,NA,21,16,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Growth stage,CAL,2,3,39.5,High,3151.12,NA,NA,NA,41,03/13/2013,04/03/2013,04/19/2013,NA,NA,NA,21,16,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Growth stage,CAL,3,3,33.5,High,3313.96,NA,NA,NA,41,03/13/2013,04/03/2013,04/19/2013,NA,NA,NA,21,16,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Growth stage,CAL,4,3,42.5,High,NA,NA,NA,NA,41,03/13/2013,04/03/2013,04/19/2013,NA,NA,NA,21,16,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Rainfall,DSV80,1,3,24.5,High,2751.15,NA,NA,NA,34,03/06/2013,03/21/2013,04/10/2013,NA,NA,NA,15,20,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Rainfall,DSV80,2,3,24.5,High,3023.21,NA,NA,NA,34,03/06/2013,03/21/2013,04/10/2013,NA,NA,NA,15,20,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Rainfall,DSV80,3,3,33.5,High,2918.92,NA,NA,NA,34,03/06/2013,03/21/2013,04/10/2013,NA,NA,NA,15,20,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Rainfall,DSV80,4,3,23,High,NA,NA,NA,NA,34,03/06/2013,03/21/2013,04/10/2013,NA,NA,NA,15,20,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Rainfall,DSV50,1,3,25,High,3063.97,NA,NA,NA,40,03/12/2013,04/02/2013,04/22/2013,NA,NA,NA,21,20,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Rainfall,DSV50,2,3,41.5,High,3052,NA,NA,NA,40,03/12/2013,04/02/2013,04/22/2013,NA,NA,NA,21,20,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Rainfall,DSV50,3,3,29,High,3129.2,NA,NA,NA,40,03/12/2013,04/02/2013,04/22/2013,NA,NA,NA,21,20,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,Rainfall,DSV50,4,3,26.5,High,NA,NA,NA,NA,40,03/12/2013,04/02/2013,04/22/2013,NA,NA,NA,21,20,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,None,UNT,1,0,100,High,1189.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,None,UNT,2,0,100,High,1052.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,None,UNT,3,0,100,High,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,3,SAP,2013,1/31/2013,5,Feb,None,UNT,4,0,100,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Rainfall,DSV80,1,1,25,Low,3677.8,NA,NA,NA,69,03/30/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Rainfall,DSV80,2,1,20,Low,4141.6,NA,NA,NA,69,03/30/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Rainfall,DSV80,3,1,10,Low,4568.2,NA,NA,NA,69,03/30/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Rainfall,DSV80,4,1,25,Low,4336.95,NA,NA,NA,69,03/30/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Growth stage,CAL,1,3,10,Low,4792.13,NA,NA,NA,44,03/05/2013,03/25/2013,04/11/2013,NA,NA,NA,20,17,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Growth stage,CAL,2,3,15,Low,3950,NA,NA,NA,44,03/05/2013,03/25/2013,04/11/2013,NA,NA,NA,20,17,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Growth stage,CAL,3,3,15,Low,3996,NA,NA,NA,44,03/05/2013,03/25/2013,04/11/2013,NA,NA,NA,20,17,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Growth stage,CAL,4,3,12,Low,4640.7,NA,NA,NA,44,03/05/2013,03/25/2013,04/11/2013,NA,NA,NA,20,17,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Rainfall,DSV50,1,2,30,Low,4364.8,NA,NA,NA,64,03/25/2013,04/15/2013,NA,NA,NA,NA,21,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Rainfall,DSV50,2,2,30,Low,5059.2,NA,NA,NA,64,03/25/2013,04/15/2013,NA,NA,NA,NA,21,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Rainfall,DSV50,3,2,30,Low,4199,NA,NA,NA,64,03/25/2013,04/15/2013,NA,NA,NA,NA,21,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,Rainfall,DSV50,4,2,25,Low,4207.5,NA,NA,NA,64,03/25/2013,04/15/2013,NA,NA,NA,NA,21,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,None,UNT,1,0,30,Low,3927.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,None,UNT,2,0,30,Low,3971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,None,UNT,3,0,30,Low,4112.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,4,SC,2013,1/20/2013,4,Jan,None,UNT,4,0,30,Low,3915.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Rainfall,DSV50,1,1,30,Low,1700,NA,NA,NA,56,04/17/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Rainfall,DSV50,2,1,30,Low,2045.9,NA,NA,NA,56,04/17/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Rainfall,DSV50,3,1,30,Low,1990,NA,NA,NA,56,04/17/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Rainfall,DSV50,4,1,25,Low,2639.4,NA,NA,NA,56,04/17/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Growth stage,CAL,1,3,10,Low,2060.25,NA,NA,NA,55,04/16/2013,05/06/2013,05/21/2013,NA,NA,NA,20,15,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Growth stage,CAL,2,3,15,Low,1480.5,NA,NA,NA,55,04/16/2013,05/06/2013,05/21/2013,NA,NA,NA,20,15,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Growth stage,CAL,3,3,15,Low,1744.75,NA,NA,NA,55,04/16/2013,05/06/2013,05/21/2013,NA,NA,NA,20,15,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Growth stage,CAL,4,3,12,Low,2297.1,NA,NA,NA,55,04/16/2013,05/06/2013,05/21/2013,NA,NA,NA,20,15,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,None,UNT,1,0,30,Low,2225.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,None,UNT,2,0,30,Low,1666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,None,UNT,3,0,30,Low,1751.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,None,UNT,4,0,30,Low,2114.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DWSys,5,SC,2013,2/20/2013,5,Feb,Rainfall,DSV80,1,0,25,Low,2020.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
